date,open,high,low,close,volume,ticker,ma5,ma20,ma60,macd,macd_signal,macd_hist,rsi14,bb_width,bb_pct,atr14,ret_lag1,ret_lag2,ret_lag3,ret_lag5,ret_lag10,ret_lag20,vol_ratio,pct_from_52w_high,stock_id,static_cap,sbv_rate,cal_day_of_week,cal_month,cal_day_of_month,cal_is_month_end,cal_is_qtr_end,cal_is_tet,cal_is_tet_pre,cal_rate_month,VNINDEX_close,usd_vnd,gold_vnd_per_gram,cross_HDB_lag1,cross_HDB_lag2,cross_TCB_lag1,cross_TCB_lag2,cross_TPB_lag1,cross_TPB_lag2,split
1/2/2019,6163,6163,5736,5736,3337629,HDB,5735.7148,5735.7148,5735.7148,0,0,0,,,,427.1279,,,,,,,1,,0,1,6.5,2,1,2,0,0,0,0,0,890,23194,955247,,,,,,,train
1/3/2019,5888,5898,5715,5726,5642426,HDB,5730.6301,5730.6301,5730.6301,-0.8112,-0.1622,-0.649,0,0.005,0.3232,305.0914,-0.0018,,,,,,1.2567,,0,1,6.5,3,1,3,0,0,0,0,0,880,23194,963300,5735.7148,,11716.9814,,6188.0396,,train
1/4/2019,5756,5898,5695,5898,8902267,HDB,5786.5636,5786.5636,5786.5636,12.3538,2.341,10.0129,94.4446,0.0671,0.7883,271.1923,0.0297,0.028,,,,,1.4935,,0,1,6.5,4,1,4,0,0,0,0,0,880,23194,956514,5725.5454,5735.7148,11442.3643,11716.9814,6048.46,6188.0396,train
1/7/2019,5898,6000,5797,5878,3357419,HDB,5809.4454,5809.4454,5809.4454,20.905,6.0538,14.8512,85,0.063,0.6876,254.2428,-0.0035,0.0263,0.0245,,,,0.6323,,0,1,6.5,0,1,7,0,0,0,0,0,890,23194,959572,5898.4307,5725.5454,11419.4795,11442.3643,6032.9512,6048.46,train
1/8/2019,5878,5888,5695,5797,6752634,HDB,5806.903,5806.903,5806.903,20.8764,9.0183,11.8581,60.7143,0.0547,0.468,242.0391,-0.0139,-0.0174,0.0124,,,,1.2062,,0,1,6.5,1,1,8,0,0,0,0,0,890,23194,956887,5878.0908,5898.4307,11488.1338,11419.4795,6094.9863,6032.9512,train
1/9/2019,5817,5919,5817,5878,16342963,HDB,5835.3782,5818.7677,5818.7677,27.1061,12.6359,14.4702,69.4445,0.0528,0.6932,222.0386,0.0139,0,-0.0035,0.0245,,,2.2117,,0,1,6.5,2,1,9,0,0,0,0,0,900,23194,961436,5796.7334,5878.0908,11488.1338,11488.1338,6110.4951,6094.9863,train
1/10/2019,5888,5919,5888,5898,15269856,HDB,5869.9553,5830.1481,5830.1481,33.3006,16.7688,16.5318,71.0527,0.0523,0.7238,196.1301,0.0035,0.0174,0.0035,0.0297,,,1.7933,,0,1,6.5,3,1,10,0,0,0,0,0,900,23194,958006,5878.0908,5796.7334,11808.5195,11488.1338,6389.6548,6110.4951,train
1/11/2019,5898,6000,5888,5939,13988927,HDB,5878.0911,5843.7683,5843.7683,41.0193,21.6189,19.4004,73.8096,0.0551,0.7963,185.5972,0.0069,0.0103,0.0243,0.0069,,,1.5207,,0,1,6.5,4,1,11,0,0,0,0,0,900,23194,959795,5898.4307,5878.0908,11808.5195,11808.5195,6467.1992,6389.6548,train
1/14/2019,5939,5980,5878,5919,3300664,HDB,5886.227,5852.1018,5852.1018,44.9768,26.2905,18.6863,70.4545,0.0542,0.7102,176.275,-0.0034,0.0034,0.0069,0.0069,,,0.3863,,0,1,6.5,0,1,14,0,0,0,0,0,900,23194,961287,5939.1099,5898.4307,11900.0586,11808.5195,6482.708,6467.1992,train
1/15/2019,5939,5949,5888,5939,4466150,HDB,5914.7022,5860.8026,5860.8026,49.1874,30.8699,18.3175,71.7392,0.0544,0.7458,164.7493,0.0034,0,0.0069,0.0243,,,0.5489,,0,1,6.5,1,1,15,0,0,0,0,0,910,23194,959124,5918.77,5939.1099,11831.4053,11900.0586,6839.4126,6482.708,train
1/16/2019,5939,5939,5878,5939,4131442,HDB,5926.9061,5867.9215,5867.9215,51.9258,35.0811,16.8447,71.7392,0.054,0.7248,155.3192,0,0.0034,0,0.0103,0.0348,,0.5316,,0,1,6.5,2,1,16,0,0,0,0,0,910,23194,963151,5939.1099,5918.77,12128.9062,11831.4053,6544.7437,6839.4126,train
1/17/2019,5939,5939,5878,5878,4607111,HDB,5922.8381,5868.7689,5868.7689,48.6118,37.7872,10.8246,63.4615,0.0515,0.5309,147.4609,-0.0103,-0.0103,-0.0069,-0.0035,0.0263,,0.6136,,0,1,6.5,3,1,17,0,0,0,0,0,900,23194,962704,5939.1099,5939.1099,12128.9062,12128.9062,6451.6904,6544.7437,train
1/18/2019,5898,5980,5878,5919,6540986,HDB,5918.7701,5872.6152,5872.6152,48.7065,39.9711,8.7355,66.0714,0.0502,0.6567,143.9406,0.0069,-0.0034,-0.0034,-0.0034,0.0034,,0.8799,,0,1,6.5,4,1,18,0,0,0,0,0,900,23194,955470,5878.0908,5939.1099,12197.5596,12128.9062,6420.6729,6451.6904,train
1/21/2019,5929,6041,5919,6031,5690507,HDB,5941.1435,5883.9024,5883.9024,57.1495,43.4068,13.7427,71.6417,0.056,0.9452,142.376,0.0187,0.0256,0.0153,0.0187,0.0256,,0.7785,,0,1,6.5,0,1,21,0,0,0,1,0,910,23194,955470,5918.77,5878.0908,12243.3301,12197.5596,6451.6904,6420.6729,train
1/22/2019,6041,6173,6041,6122,11139933,HDB,5977.7543,5899.7865,5899.7865,70.4144,48.8083,21.6061,74.9999,0.0681,1.0535,122.0366,0.0151,0.0338,0.0407,0.0304,0.0546,,1.4726,,0,1,6.5,1,1,22,0,0,0,1,0,910,23194,956365,6030.6367,5918.77,12540.8311,12243.3301,6513.7261,6451.6904,train
